CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2021-4217,unzip,6.0-28,unknown,3.3,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1149,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1150,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1152,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-53589,binutils,2.40-2,unknown,8.4,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-6141,libtinfo6,6.4-4,unknown,3.3,LOW,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-66382,libexpat1,2.5.0-1+deb12u2,unknown,2.9,LOW,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1151,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-14104,bsdutils,1:2.38.1-5+deb12u3,unknown,6.1,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-13978,libtiff6,4.5.0-6+deb12u3,unknown,2.5,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-49463,libheif1,1.15.1-1+deb12u1,unknown,8.8,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-8qq5-rm4j-mr97,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
CVE-2019-1010022,libc-bin,2.36-9+deb12u13,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-31437,libsystemd0,252.39-1~deb12u1,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-14159,libldap-2.5-0,2.5.13+dfsg-5,unknown,4.7,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-20673,binutils,2.40-2,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-32256,binutils,2.40-2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-51792,libde265-0,1.0.11-1+deb12u2,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-31438,libsystemd0,252.39-1~deb12u1,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-31439,libsystemd0,252.39-1~deb12u1,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-9820,libgnutls30,3.7.9-2+deb12u5,unknown,4.0,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2026-25210,libexpat1,2.5.0-1+deb12u2,unknown,6.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-3198,binutils,2.40-2,unknown,3.3,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-26461,krb5-locales,1.20.1-2+deb12u4,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-68972,gpgv,2.2.40-1.1+deb12u2,unknown,5.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-18018,coreutils,9.1-1,unknown,7.1,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-66862,binutils,2.40-2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-66863,binutils,2.40-2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-66865,binutils,2.40-2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-1210,libtiff6,4.5.0-6+deb12u3,unknown,4.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-27943,cpp-12,12.2.0-14+deb12u1,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
