CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2023-45322,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-46658,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-1010025,libc-bin,2.28-10,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27619,libpython2.7-minimal,2.7.16-2+deb10u1,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-29824,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-28935,libunbound8,1.9.0-2+deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-34459,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-32002,node,16.0.0,unknown,9.8,CRITICAL,critical,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-9192,libc-bin,2.28-10,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-33910,libsystemd0,241-7~deb10u7,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-14048,libpng-dev,1.6.36-6,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-12062,openssh-client,1:7.9p1-10+deb10u2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-23308,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25031,libunbound8,1.9.0-2+deb10u2,unknown,5.9,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27560,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-20712,binutils,2.31.1-16,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-25666,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-25675,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27757,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27761,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27763,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-qw6h-vgh9-j6wx,express,4.18.2,5.2.1,None,LOW,low,transitive,3,1,npm,"UPGRADE — update from 4.18.2 to 5.2.1",low
CVE-2025-23165,node,16.0.0,unknown,3.7,LOW,low,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-9893,libseccomp2,2.3.3-4,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-fc9h-whq2-v747,elliptic,6.5.4,6.6.1,None,LOW,low,transitive,6,2,npm,"UPGRADE — update from 6.5.4 to 6.6.1",low
GHSA-mpwj-fcr6-x34c,yarn,1.22.5,1.22.22,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.22.5 to 1.22.22",low
CVE-2021-22898,curl,7.64.0-4+deb10u2,unknown,3.1,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-20651,binutils,2.31.1-16,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27618,libc-bin,2.28-10,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25032,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25038,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-95m3-7q98-8xr5,sha.js,2.4.11,2.4.12,None,CRITICAL,critical,transitive,6,3,npm,"UPGRADE — update from 2.4.11 to 2.4.12",low
CVE-2019-25034,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25035,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25039,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-25042,libunbound8,1.9.0-2+deb10u2,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-566m-qj78-rww5,postcss,7.0.14,8.5.6,None,MEDIUM,medium,transitive,2,4,npm,"UPGRADE — update from 7.0.14 to 8.5.6",low
CVE-2022-29458,libncurses-dev,6.1+20181013-2+deb10u2,unknown,7.1,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-6fx8-h7jm-663j,parseuri,0.0.5,3.0.2,None,MEDIUM,medium,transitive,4,2,npm,"UPGRADE — update from 0.0.5 to 3.0.2",low
