Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
libopenjp2-7,2.3.0-2+deb10u2,unknown,debian,openjpeg2,21,11,10,0,0,-11,"UPGRADE — 11/21 fixed; 10 remain; no new CVEs"
libglib2.0-0,2.58.3-2+deb10u2,unknown,debian,glib2.0,10,9,1,0,0,-9,"UPGRADE — 9/10 fixed; 1 remain; no new CVEs"
node-forge,0.10.0,1.3.3,npm,node-forge,9,9,0,0,0,-9,"UPGRADE — all 9 CVEs fixed; no new CVEs"
libgnutls-dane0,3.6.7-4+deb10u6,unknown,debian,gnutls28,9,8,1,0,0,-8,"UPGRADE — 8/9 fixed; 1 remain; no new CVEs"
handlebars,4.4.0,4.7.8,npm,handlebars,8,8,0,0,0,-8,"UPGRADE — all 8 CVEs fixed; no new CVEs"
openssh-client,1:7.9p1-10+deb10u2,unknown,debian,openssh,16,7,8,1,0,-7,"UPGRADE — 7/16 fixed; 8 remain; no new CVEs"
elliptic,6.5.4,6.6.1,npm,elliptic,7,6,0,1,0,-6,"UPGRADE — 6/7 fixed; 0 remain; no new CVEs"
krb5-multidev,1.17-3+deb10u1,unknown,debian,krb5,8,5,3,0,0,-5,"UPGRADE — 5/8 fixed; 3 remain; no new CVEs"
libheif1,1.3.2-2~deb10u1,unknown,debian,libheif,6,5,1,0,0,-5,"UPGRADE — 5/6 fixed; 1 remain; no new CVEs"
libncurses-dev,6.1+20181013-2+deb10u2,unknown,debian,ncurses,6,5,1,0,0,-5,"UPGRADE — 5/6 fixed; 1 remain; no new CVEs"
login,1:4.5-1.1,unknown,debian,shadow,6,5,1,0,0,-5,"UPGRADE — 5/6 fixed; 1 remain; no new CVEs"
libjpeg-dev,1:1.5.2-2+deb10u1,unknown,debian,libjpeg-turbo,5,5,0,0,0,-5,"UPGRADE — all 5 CVEs fixed; no new CVEs"
libx11-6,2:1.6.7-1+deb10u1,unknown,debian,libx11,5,5,0,0,0,-5,"UPGRADE — all 5 CVEs fixed; no new CVEs"
tar,6.1.0,7.5.9,npm,tar,5,5,0,0,0,-5,"UPGRADE — all 5 CVEs fixed; no new CVEs"
follow-redirects,1.9.0,1.15.11,npm,follow-redirects,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
libfreetype6,2.9.1-3+deb10u2,unknown,debian,freetype,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
libpcre2-8-0,10.32-5,unknown,debian,pcre2,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
libsepol1,2.8-1,unknown,debian,libsepol,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
lodash,4.17.15,4.17.23,npm,lodash,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
tar,4.4.19,7.5.9,npm,tar,4,4,0,0,0,-4,"UPGRADE — all 4 CVEs fixed; no new CVEs"
libgcrypt20,1.8.4-5,unknown,debian,libgcrypt20,5,3,2,0,0,-3,"UPGRADE — 3/5 fixed; 2 remain; no new CVEs"
libpng-dev,1.6.36-6,unknown,debian,libpng1.6,4,3,1,0,0,-3,"UPGRADE — 3/4 fixed; 1 remain; no new CVEs"
libfribidi0,1.0.5-3.1+deb10u1,unknown,debian,fribidi,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
libnghttp2-14,1.36.0-2+deb10u1,unknown,debian,nghttp2,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
libssh2-1,1.8.0-2.1,unknown,debian,libssh2,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
loader-utils,1.2.3,3.3.1,npm,loader-utils,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
moment,2.18.1,2.30.1,npm,moment,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
postcss,7.0.14,8.5.6,npm,postcss,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
socket.io-parser,3.2.0,4.2.5,npm,socket.io-parser,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
libperl5.28,5.28.1-6+deb10u1,unknown,debian,perl,4,2,2,0,0,-2,"UPGRADE — 2/4 fixed; 2 remain; no new CVEs"
