CVE-2019-1010023	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc
CVE-2019-1010023	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc
CVE-2019-1010024	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc
CVE-2019-1010024	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc
CVE-2019-1010024	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc
CVE-2019-1010024	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc
CVE-2019-1010024	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc
CVE-2019-1010025	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc
CVE-2019-1010025	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc
CVE-2019-1010025	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc
CVE-2019-1010025	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc
CVE-2019-1010025	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc
CVE-2019-9192	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc
CVE-2019-9192	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc
CVE-2019-9192	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc
CVE-2019-9192	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc
CVE-2019-9192	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc
