bom_ref	ecosystem	name	version	purl	type	vuln_count	max_severity	vuln_ids
pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=e90934cdc31ca290&upstream=glibc	deb	libc-bin	2.36-9+deb12u13	pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library	10	none	CVE-2010-4756,CVE-2018-20796,CVE-2019-1010022,CVE-2019-1010023,CVE-2019-1010024,CVE-2019-1010025,CVE-2019-9192,CVE-2025-15281,CVE-2026-0861,CVE-2026-0915
pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=a441f47cb7456001&upstream=glibc	deb	libc-dev-bin	2.36-9+deb12u13	pkg:deb/debian/libc-dev-bin@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library	10	none	CVE-2010-4756,CVE-2018-20796,CVE-2019-1010022,CVE-2019-1010023,CVE-2019-1010024,CVE-2019-1010025,CVE-2019-9192,CVE-2025-15281,CVE-2026-0861,CVE-2026-0915
pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=14dc64240f4a6401&upstream=glibc	deb	libc-devtools	2.36-9+deb12u13	pkg:deb/debian/libc-devtools@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library	10	none	CVE-2010-4756,CVE-2018-20796,CVE-2019-1010022,CVE-2019-1010023,CVE-2019-1010024,CVE-2019-1010025,CVE-2019-9192,CVE-2025-15281,CVE-2026-0861,CVE-2026-0915
pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=0ab22287b6343f5c&upstream=glibc	deb	libc6	2.36-9+deb12u13	pkg:deb/debian/libc6@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library	10	none	CVE-2010-4756,CVE-2018-20796,CVE-2019-1010022,CVE-2019-1010023,CVE-2019-1010024,CVE-2019-1010025,CVE-2019-9192,CVE-2025-15281,CVE-2026-0861,CVE-2026-0915
pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&package-id=1f4a92bc30931514&upstream=glibc	deb	libc6-dev	2.36-9+deb12u13	pkg:deb/debian/libc6-dev@2.36-9%2Bdeb12u13?arch=amd64&distro=debian-12&upstream=glibc	library	10	none	CVE-2010-4756,CVE-2018-20796,CVE-2019-1010022,CVE-2019-1010023,CVE-2019-1010024,CVE-2019-1010025,CVE-2019-9192,CVE-2025-15281,CVE-2026-0861,CVE-2026-0915
pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&package-id=72fde445ac2455fc&upstream=krb5	deb	krb5-locales	1.20.1-2+deb12u4	pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&upstream=krb5	library	3	none	CVE-2018-5709,CVE-2024-26458,CVE-2024-26461
pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=27dfed9942e654b2&upstream=krb5	deb	libgssapi-krb5-2	1.20.1-2+deb12u4	pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library	3	none	CVE-2018-5709,CVE-2024-26458,CVE-2024-26461
pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=28bcce6865c31c7b&upstream=krb5	deb	libk5crypto3	1.20.1-2+deb12u4	pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library	3	none	CVE-2018-5709,CVE-2024-26458,CVE-2024-26461
pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=be62ac862a4f20f3&upstream=krb5	deb	libkrb5-3	1.20.1-2+deb12u4	pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library	3	none	CVE-2018-5709,CVE-2024-26458,CVE-2024-26461
pkg:deb/debian/libkrb5support0@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=45c439166729c218&upstream=krb5	deb	libkrb5support0	1.20.1-2+deb12u4	pkg:deb/debian/libkrb5support0@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&upstream=krb5	library	3	none	CVE-2018-5709,CVE-2024-26458,CVE-2024-26461
pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=61f95e16aafc9e56	deb	curl	7.88.1-10+deb12u14	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12	library	9	medium	CVE-2024-2379,CVE-2025-0725,CVE-2025-10148,CVE-2025-10966,CVE-2025-14017,CVE-2025-14524,CVE-2025-14819,CVE-2025-15079,CVE-2025-15224
pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=09b36c5d81fca08e&upstream=curl	deb	libcurl4	7.88.1-10+deb12u14	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&upstream=curl	library	9	medium	CVE-2024-2379,CVE-2025-0725,CVE-2025-10148,CVE-2025-10966,CVE-2025-14017,CVE-2025-14524,CVE-2025-14819,CVE-2025-15079,CVE-2025-15224
pkg:deb/debian/libdav1d6@1.0.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d96162e7206cebef&upstream=dav1d	deb	libdav1d6	1.0.0-2+deb12u1	pkg:deb/debian/libdav1d6@1.0.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=dav1d	library	1	medium	CVE-2023-32570
pkg:deb/debian/libjbig0@2.1-6.1?arch=amd64&distro=debian-12&package-id=63933a9eb4c88edb&upstream=jbigkit	deb	libjbig0	2.1-6.1	pkg:deb/debian/libjbig0@2.1-6.1?arch=amd64&distro=debian-12&upstream=jbigkit	library	1	none	CVE-2017-9937
pkg:deb/debian/libtasn1-6@4.19.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=43e8c6e1dbd41a5d	deb	libtasn1-6	4.19.0-2+deb12u1	pkg:deb/debian/libtasn1-6@4.19.0-2%2Bdeb12u1?arch=amd64&distro=debian-12	library	1	high	CVE-2025-13151
pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12&package-id=d842b59217648a95	deb	binutils	2.40-2	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&package-id=5bcf7faea7019d8b&upstream=binutils	deb	binutils-common	2.40-2	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&package-id=d0e449f35480c447&upstream=binutils	deb	binutils-x86-64-linux-gnu	2.40-2	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&package-id=78054169459aae2f&upstream=binutils	deb	libbinutils	2.40-2	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&package-id=63bfd9a0d6ef6f63&upstream=binutils	deb	libctf-nobfd0	2.40-2	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&package-id=79f92809e5afae8d&upstream=binutils	deb	libctf0	2.40-2	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&package-id=727693742e6e3639&upstream=binutils	deb	libgprofng0	2.40-2	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&upstream=binutils	library	45	none	CVE-2017-13716,CVE-2018-20673,CVE-2018-20712,CVE-2018-9996,CVE-2021-32256,CVE-2023-1972,CVE-2024-53589,CVE-2024-57360,CVE-2025-0840,CVE-2025-11081,CVE-2025-11082,CVE-2025-11083,CVE-2025-11412,CVE-2025-11413,CVE-2025-11414,CVE-2025-1147,CVE-2025-1148,CVE-2025-1149,CVE-2025-11494,CVE-2025-11495,CVE-2025-1150,CVE-2025-1151,CVE-2025-1152,CVE-2025-1153,CVE-2025-1176,CVE-2025-1178,CVE-2025-1179,CVE-2025-1180,CVE-2025-1181,CVE-2025-1182,CVE-2025-11839,CVE-2025-11840,CVE-2025-3198,CVE-2025-5244,CVE-2025-5245,CVE-2025-66861,CVE-2025-66862,CVE-2025-66863,CVE-2025-66864,CVE-2025-66865,CVE-2025-66866,CVE-2025-7545,CVE-2025-7546,CVE-2025-8224,CVE-2025-8225
pkg:npm/nodemailer@6.10.1?package-id=1a1ea255d5e5b964	npm	nodemailer	6.10.1	pkg:npm/nodemailer@6.10.1	library	2	medium	GHSA-mm7p-fcc7-pg87,GHSA-rcmh-qjqh-p98v
pkg:deb/debian/libtinfo6@6.4-4?arch=amd64&distro=debian-12&package-id=a6231fb14cfeaaac&upstream=ncurses	deb	libtinfo6	6.4-4	pkg:deb/debian/libtinfo6@6.4-4?arch=amd64&distro=debian-12&upstream=ncurses	library	2	medium	CVE-2023-50495,CVE-2025-6141
pkg:deb/debian/ncurses-base@6.4-4?arch=all&distro=debian-12&package-id=ec73073218fd031a&upstream=ncurses	deb	ncurses-base	6.4-4	pkg:deb/debian/ncurses-base@6.4-4?arch=all&distro=debian-12&upstream=ncurses	library	2	medium	CVE-2023-50495,CVE-2025-6141
pkg:deb/debian/ncurses-bin@6.4-4?arch=amd64&distro=debian-12&package-id=c5b18ac268f2ccdf&upstream=ncurses	deb	ncurses-bin	6.4-4	pkg:deb/debian/ncurses-bin@6.4-4?arch=amd64&distro=debian-12&upstream=ncurses	library	2	medium	CVE-2023-50495,CVE-2025-6141
pkg:npm/glob@10.4.5?package-id=5c81a34fef3634ef	npm	glob	10.4.5	pkg:npm/glob@10.4.5	library	1	high	GHSA-5j98-mcp5-4vw2
pkg:deb/debian/perl-base@5.36.0-7%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=e272b8e8d5eb9292&upstream=perl	deb	perl-base	5.36.0-7+deb12u3	pkg:deb/debian/perl-base@5.36.0-7%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=perl	library	2	none	CVE-2011-4116,CVE-2023-31486
pkg:deb/debian/libgcrypt20@1.10.1-3?arch=amd64&distro=debian-12&package-id=d386f651d9220c9e	deb	libgcrypt20	1.10.1-3	pkg:deb/debian/libgcrypt20@1.10.1-3?arch=amd64&distro=debian-12	library	2	none	CVE-2018-6829,CVE-2024-2236
pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12&package-id=eca37691b87c0860	deb	coreutils	9.1-1	pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12	library	3	low	CVE-2016-2781,CVE-2017-18018,CVE-2025-5278
pkg:deb/debian/libheif1@1.15.1-1%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=6dec48f68a6dce02&upstream=libheif	deb	libheif1	1.15.1-1+deb12u1	pkg:deb/debian/libheif1@1.15.1-1%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=libheif	library	3	medium	CVE-2023-49463,CVE-2024-25269,CVE-2025-68431
pkg:npm/tar@6.2.1?package-id=2c1eb304066e694a	npm	tar	6.2.1	pkg:npm/tar@6.2.1	library	3	high	GHSA-34x7-hfp2-rc4v,GHSA-8qq5-rm4j-mr97,GHSA-r6q2-hw4h-h46w
pkg:npm/tar@7.4.3?package-id=f1798e2aef0c5788	npm	tar	7.4.3	pkg:npm/tar@7.4.3	library	3	high	GHSA-34x7-hfp2-rc4v,GHSA-8qq5-rm4j-mr97,GHSA-r6q2-hw4h-h46w
pkg:npm/tar@7.4.3?package-id=f3286c35c5198a7d	npm	tar	7.4.3	pkg:npm/tar@7.4.3	library	3	high	GHSA-34x7-hfp2-rc4v,GHSA-8qq5-rm4j-mr97,GHSA-r6q2-hw4h-h46w
pkg:npm/diff@5.2.0?package-id=b06ad4daeb334cd8	npm	diff	5.2.0	pkg:npm/diff@5.2.0	library	1	low	GHSA-73rr-hh4g-fpgx
pkg:deb/debian/libpam-modules@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=4cab7ef7de016d31&upstream=pam	deb	libpam-modules	1.5.2-6+deb12u2	pkg:deb/debian/libpam-modules@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=pam	library	1	medium	CVE-2024-10041
pkg:deb/debian/libpam-modules-bin@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=372dffabd059479c&upstream=pam	deb	libpam-modules-bin	1.5.2-6+deb12u2	pkg:deb/debian/libpam-modules-bin@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=pam	library	1	medium	CVE-2024-10041
pkg:deb/debian/libpam-runtime@1.5.2-6%2Bdeb12u2?arch=all&distro=debian-12&package-id=ca1034d5d24bcf54&upstream=pam	deb	libpam-runtime	1.5.2-6+deb12u2	pkg:deb/debian/libpam-runtime@1.5.2-6%2Bdeb12u2?arch=all&distro=debian-12&upstream=pam	library	1	medium	CVE-2024-10041
pkg:deb/debian/libpam0g@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=87d8465053cf56c8&upstream=pam	deb	libpam0g	1.5.2-6+deb12u2	pkg:deb/debian/libpam0g@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=pam	library	1	medium	CVE-2024-10041
pkg:deb/debian/libpng16-16@1.6.39-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d50b56e6adfee72a&upstream=libpng1.6	deb	libpng16-16	1.6.39-2+deb12u1	pkg:deb/debian/libpng16-16@1.6.39-2%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=libpng1.6	library	5	high	CVE-2021-4214,CVE-2025-28162,CVE-2025-28164,CVE-2026-22695,CVE-2026-22801
pkg:deb/debian/libjansson4@2.14-2?arch=amd64&distro=debian-12&package-id=aa4f185635b66d91&upstream=jansson	deb	libjansson4	2.14-2	pkg:deb/debian/libjansson4@2.14-2?arch=amd64&distro=debian-12&upstream=jansson	library	1	none	CVE-2020-36325
pkg:deb/debian/gpgv@2.2.40-1.1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=bab4532a87a829c8&upstream=gnupg2	deb	gpgv	2.2.40-1.1+deb12u2	pkg:deb/debian/gpgv@2.2.40-1.1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=gnupg2	library	3	medium	CVE-2022-3219,CVE-2025-30258,CVE-2025-68972
pkg:npm/npm@10.9.4?package-id=0a85c983d102907d	npm	npm	10.9.4	pkg:npm/npm@10.9.4	library	1	high	GHSA-3966-f6p6-2qr9
pkg:deb/debian/unzip@6.0-28?arch=amd64&distro=debian-12&package-id=d86d104b2d6876f3	deb	unzip	6.0-28	pkg:deb/debian/unzip@6.0-28?arch=amd64&distro=debian-12	library	1	none	CVE-2021-4217
pkg:deb/debian/bsdutils@1%3A2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=f131145b816a43ee&upstream=util-linux%402.38.1-5%2Bdeb12u3	deb	bsdutils	1:2.38.1-5+deb12u3	pkg:deb/debian/bsdutils@1%3A2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux%402.38.1-5%2Bdeb12u3	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/libblkid1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=af35543f081d70bf&upstream=util-linux	deb	libblkid1	2.38.1-5+deb12u3	pkg:deb/debian/libblkid1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/libmount1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=3578a81ebb651f3d&upstream=util-linux	deb	libmount1	2.38.1-5+deb12u3	pkg:deb/debian/libmount1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/libsmartcols1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=ecee94562f1ce06f&upstream=util-linux	deb	libsmartcols1	2.38.1-5+deb12u3	pkg:deb/debian/libsmartcols1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
