CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2022-37599,loader-utils,>=1.0.0 <1.4.2,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2025-30360,webpack-dev-server,<=5.2.0,5.2.3,None,MODERATE,moderate,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2025-30359,webpack-dev-server,<=5.2.0,5.2.3,None,MODERATE,moderate,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2025-64718,js-yaml,>=4.0.0 <4.1.1,4.1.1,None,MODERATE,moderate,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2022-25883,semver,>=7.0.0 <7.5.2,7.7.4,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2024-4367,pdfjs-dist,<=4.1.392,5.4.624,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2026-23745,tar,<=7.5.2,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2026-23950,tar,<=7.5.3,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2026-24842,tar,<7.5.7,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2023-30533,xlsx,<0.19.3,0.18.5,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2024-22363,xlsx,<0.20.2,0.18.5,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2025-54798,tmp,<=0.2.3,0.2.5,None,LOW,low,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2025-13465,lodash,>=4.0.0 <=4.17.22,4.17.23,None,MODERATE,moderate,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
